ano;UF;tipo;area colheita;area colhida;Q produzida;rendimento medio;valor produção
2019;São Paulo;Café (em grão) Arábica;199474;199245;290089;1456;1953864
2019;Paraná;Café (em grão) Arábica;38002;37803;63356;1676;378625
2019;Santa Catarina - Brasil;Café (em grão) Arábica;0;0;0;0;0
2019;Rio Grande do Sul;Café (em grão) Arábica;0;0;0;0;0
2019;Mato Grosso do Sul;Café (em grão) Arábica;261;261;294;1126;1990
2019;Mato Grosso;Café (em grão) Arábica;130;130;105;808;618
2019;Goiás;Café (em grão) Arábica;8184;8184;20178;2466;124675
2019;Distrito Federal - Brasil;Café (em grão) Arábica;410;410;720;1756;6840
2018;Rondônia;Café (em grão) Canephora;64850;64850;136251;2101;659000
2018;Acre;Café (em grão) Canephora;1195;1146;1969;1718;8726
2018;Amazonas;Café (em grão) Canephora;234;224;318;1420;811
2018;Roraima;Café (em grão) Canephora;0;0;0;0;0
2018;Pará;Café (em grão) Canephora;324;321;282;879;663
2018;Amapá;Café (em grão) Canephora;0;0;0;0;0
2018;Tocantins;Café (em grão) Canephora;0;0;0;0;0
2018;Maranhão;Café (em grão) Canephora;0;0;0;0;0
2018;Piauí;Café (em grão) Canephora;0;0;0;0;0
2018;Ceará;Café (em grão) Canephora;127;127;41;323;184
2018;Rio Grande do Norte;Café (em grão) Canephora;0;0;0;0;0
2018;Paraíba;Café (em grão) Canephora;0;0;0;0;0
2018;Pernambuco;Café (em grão) Canephora;0;0;0;0;0
2018;Alagoas;Café (em grão) Canephora;0;0;0;0;0
2018;Sergipe;Café (em grão) Canephora;0;0;0;0;0
2018;Bahia;Café (em grão) Canephora;46965;46965;138575;2951;704565
2018;Minas Gerais;Café (em grão) Canephora;9364;9364;15692;1676;83725
2018;Espírito Santo;Café (em grão) Canephora;256252;256252;589924;2302;3056610
2018;Rio de Janeiro;Café (em grão) Canephora;0;0;0;0;0
2018;São Paulo;Café (em grão) Canephora;30;30;56;1867;282
2018;Paraná;Café (em grão) Canephora;0;0;0;0;0
2018;Santa Catarina - Brasil;Café (em grão) Canephora;0;0;0;0;0
2018;Rio Grande do Sul;Café (em grão) Canephora;0;0;0;0;0
2018;Mato Grosso do Sul;Café (em grão) Canephora;0;0;0;0;0
2018;Mato Grosso;Café (em grão) Canephora;15395;15395;6817;443;29823
2018;Goiás;Café (em grão) Canephora;0;0;0;0;0
2018;Distrito Federal - Brasil;Café (em grão) Canephora;0;0;0;0;0
2018;Rondônia;Café (em grão) Arábica;0;0;0;1967;0
2018;Acre;Café (em grão) Arábica;0;0;0;1709;0
2018;Amazonas;Café (em grão) Arábica;24;22;29;1398;117
